route_id,agency_id,route_short_name,route_long_name,route_type,transport_type,circular,urban,night
1850,orgp,494,"""ПОС. БЕЛООСТРОВ"" - АЛЕКСАНДРОВСКОЕ ШОССЕ, САДОВОДСТВО ""САДЫ""",3,bus,0,0,0
1851,orgp,497,Ж.-Д. СТАНЦИЯ ПЕСОЧНАЯ - ПОС. ЧЕРНАЯ РЕЧКА,3,bus,0,0,0
1853,orgp,117,ТРОИЦКОЕ ПОЛЕ - УЛ. САМОЙЛОВОЙ,3,bus,0,1,0
2072,orgp,8А,"СТ. МЕТРО ""ЕЛИЗАРОВСКАЯ"" -СТ. МЕТРО ""ПЛ. АЛЕКСАНДРА НЕВСКОГО""",3,bus,0,1,0
2093,orgp,4,"УТКИНА ЗАВОДЬ-РЕКА ""ОККЕРВИЛЬ""",3,bus,0,1,0
2193,orgp,187шк,"ПУШКИН, А.С. ""ЖЕЛЕЗНОДОРОЖНАЯ УЛ."" - ""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.",3,bus,0,1,0
2213,orgp,84А,"ПОС.ЛЕВАШОВО, ВОКЗАЛ - ПОС.НОВОСЕЛКИ, КАРЬЕР",3,bus,0,1,0
2293,orgp,154А,"СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" - ШУВАЛОВСКИЙ ПР.",3,bus,0,1,0
2313,orgp,126,"СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" - СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ""(КОЛЬЦЕВОЙ)",3,bus,1,1,0
2338,orgp,126 Т,ст. метро Старая деревня- ст. метро Старая деревня,3,bus,0,1,0
2435,orgp,55,"УЛ. МАРШАЛА ТУХАЧЕВСКОГО - СТ. МЕТРО ""ПЛОЩАДЬ АЛЕКСАНДРА НЕВСКОГО""",3,bus,0,1,0
2455,orgp,134Ш,ШКОЛЬНАЯ УЛ. - ГБОУ ГИМНАЗИИ №540,3,bus,0,1,0
2636,orgp,К-58,"станция метро ""Озерки"" - пр. Культуры ",3,bus,0,1,0
2637,orgp,К-59,"станция метро ""Московские ворота"", Московский пр., д. 103  - станция метро ""Купчино"", Балканская пл.",3,bus,0,1,0
2656,orgp,К-2,ж.-д. станция Лигово - Никольская пл.,3,bus,0,1,0
2657,orgp,К-60,"пр. Стачек, д. 90 - пр. Народного Ополчения, д. 205",3,bus,0,1,0
2658,orgp,К-3,"Московский пр., д.1 - Шушары, Школьная ул.",3,bus,0,1,0
2659,orgp,К-175,"ТРК ""Северный молл"", пр. Культуры, д. 41 - Авт. станция ""Наличная""",3,bus,0,1,0
2675,orgp,К-6,"станция метро ""Новочеркасская"" - ул. Академика Константинова, д.1",3,bus,0,1,0
2678,orgp,К-7,"Садовая ул., д. 39-41 - наб. реки Фонтанки, д. 201",3,bus,0,1,0
2679,orgp,К-8,"станция метро ""Площадь Александра Невского"" - Уткина Заводь",3,bus,0,1,0
2683,orgp,К-66,"ул. Червонного Казачества - Канонерский остров, д. 11",3,bus,0,1,0
2686,orgp,К-177,"ст.метро ""Нарвская""-Финляндский вокзал",3,bus,0,1,0
2696,orgp,К-11к,Троицкое Поле - ж.-д. станция Предпортовая,3,bus,0,0,0
